"direction","route_name","route_type","stop_name","stop_number","load_timestamp"
"MPWS1 -> MTWS1","BM1","Marine","Marina Mall Marine Transport Station 1","1","2026-09-14 10:56:10.000"
"MTWS1 -> MPWS1","BM1","Marine","Marina Promenade Marine Transport Statio","3","2026-09-14 10:56:10.000"
"TMDBST1 -> DICMSL1","F31","Feeder",,"14","2026-09-14 10:56:10.000"
"OMMST1 -> OMMST1","F18","Feeder","Lamcy Plaza 1","4","2026-09-14 10:56:10.000"
"TMDBST1 -> DICMSL1","F31","Feeder",,"18","2026-09-14 10:56:10.000"
"GSBS4 -> ICPM1","53","Urban",,"6","2026-09-14 10:56:10.000"
"TMDBST1 -> DICMSL1","F31","Feeder","Al Barsha Heights, Saleh Bin Lahej Build","16","2026-09-14 10:56:10.000"
"DFCFC1 -> NTSPS1","F08","Feeder","Al Nahda, Motawa Bldg","21","2026-09-14 10:56:10.000"
"FGBMLS1 -> QCRMT1","F25","Feeder","Al Quoz, Pure Water Filling Company 2","2","2026-09-14 10:56:10.000"
"NTSPS1 -> DFCFC1","F08","Feeder",,"1","2026-09-14 10:56:10.000"
"JWTS1 -> DFCS1","BM2","Marine",,"1","2026-09-14 10:56:10.000"
"DCO1 -> AN1T21","22","Urban",,"16","2026-09-14 10:56:10.000"
"QIA3T1 -> SMS2","F24","Feeder",,"9","2026-09-14 10:56:10.000"
"LLV1 -> DICMS1","X28","Urban",,"21","2026-09-14 10:56:10.000"
"DFCFC1 -> NTSPS1","F08","Feeder",,"23","2026-09-14 10:56:10.000"
"FGBMLS1 -> FGBMLS1","F25","Feeder",,"16","2026-09-14 10:56:10.000"
"NTSPS1 -> DFCFC1","F08","Feeder",,"17","2026-09-14 10:56:10.000"
"ANMS4 -> ANMS4","F21","Feeder",,"3","2026-09-14 10:56:10.000"
"DCCT1 -> AN1T21","22","Urban",,"4","2026-09-14 10:56:10.000"
"FGBMLS1 -> FGBMLS1","F25","Feeder",,"14","2026-09-14 10:56:10.000"
"LLV1 -> DICMS1","X28","Urban","Damascus Road 1-1","7","2026-09-14 10:56:10.000"
"QIA3T1 -> SMS2","F24","Feeder",,"11","2026-09-14 10:56:10.000"
"QIA3T1 -> SMS2","F24","Feeder","Al Qusais Depot Entrance 2","2","2026-09-14 10:56:10.000"
"BBMS1 -> BBMS1","F20","Feeder","Al Safa, Street 13, Al Razi Boys School","8","2026-09-14 10:56:10.000"
"NTSPS1 -> DFCFC1","F08","Feeder",,"14","2026-09-14 10:56:10.000"
"BBMS1 -> BBMS1","F20","Feeder","Al Wasl, Street 35, Al Ittihad Health Ce","16","2026-09-14 10:56:10.000"
"LLV1 -> DICMS1","X28","Urban",,"25","2026-09-14 10:56:10.000"
"SMS2 -> QIA3T1","F24","Feeder","Al Qusais Ind Area 3, Atiq Abdullah Flou","9","2026-09-14 10:56:10.000"
"TMDBST1 -> DICMSL1","F31","Feeder","The Greens, Al Sidir","12","2026-09-14 10:56:10.000"
"SMS2 -> QIA3T1","F24","Feeder",,"7","2026-09-14 10:56:10.000"
"FGBMLS1 -> QCRMT1","F25","Feeder",,"17","2026-09-14 10:56:10.000"
"GSBS4 -> ICPM1","53","Urban","Dubai Textile City","21","2026-09-14 10:56:10.000"
"MEMS1 -> MEMS1","F35","Feeder",,"11","2026-09-14 10:56:10.000"
"DCCT1 -> AN1T21","22","Urban","Al Nahda 1, Terminus 1","21","2026-09-14 10:56:10.000"
"MEMS1 -> MEMS1","F35","Feeder","Mall of the Emirates 2-2","3","2026-09-14 10:56:10.000"
"GSBS4 -> ICPM1","53","Urban",,"30","2026-09-14 10:56:10.000"
"DFCFC1 -> NTSPS1","F08","Feeder",,"19","2026-09-14 10:56:10.000"
"DMSL1 -> DMSL1","JLT1","Urban",,"5","2026-09-14 10:56:10.000"
"MEMS1 -> MEMS1","F35","Feeder","The Greens, Al Arta 1","14","2026-09-14 10:56:10.000"
"BBMS1 -> BBMS1","F20","Feeder",,"8","2026-09-14 10:56:10.000"
"BBMSL1 -> BBMSL1","F41","Feeder","XL Tower 2","17","2026-09-14 10:56:10.000"
"ETMS2 -> ETMS2","F28","Feeder","Trade Center Metro Bus Stop","9","2026-09-14 10:56:10.000"
"DCCT1 -> AN1T21","22","Urban",,"5","2026-09-14 10:56:10.000"
"MEMS1 -> MEMS1","F35","Feeder","Al Barsha D-2","26","2026-09-14 10:56:10.000"
"DMSL1 -> DMSL1","JLT1","Urban","JLT, Saba 1 Tower","6","2026-09-14 10:56:10.000"
"BBMS1 -> BBMS1","F20","Feeder","Business Bay Metro Bus Stop Seaside","18","2026-09-14 10:56:10.000"
"DFCFC1 -> NTSPS1","F08","Feeder","Al Nahda, 12 St 2","19","2026-09-14 10:56:10.000"
"BBMSL1 -> BBMSL1","F41","Feeder",,"10","2026-09-14 10:56:10.000"
"FGBMLS1 -> FGBMLS1","F25","Feeder","Al Quoz, Dynamic Industries","17","2026-09-14 10:56:10.000"
"GSBS4 -> ICPM1","53","Urban","Al Badia, Hillside Village A-1","11","2026-09-14 10:56:10.000"
"LLV1 -> DICMS1","X28","Urban","Umm Suqeim, Library 1","32","2026-09-14 10:56:10.000"
"FGBMLS1 -> FGBMLS1","F25","Feeder","Al Quoz, T. Choithram Stores 1","16","2026-09-14 10:56:10.000"
"TMDBST1 -> DICMSL1","F31","Feeder",,"12","2026-09-14 10:56:10.000"
"MEMS1 -> MEMS1","F35","Feeder","Al Barsha, Rashid Centre For Disabled 2","1","2026-09-14 10:56:10.000"
"BBMSL1 -> BBMSL1","F41","Feeder",,"8","2026-09-14 10:56:10.000"
